Name,Group,SMARTS,Author,Article,Alert_ID,Endpoint,Endpoint_index
2-Pyrazolines (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[NR1]1[NR1]=[CR1][CR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2545,Extended_Functional_Groups_(EFG),8
Imidazolines (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([NR1]1=[CR1][NR1][CR1][CR1]1),$([NR1]1[CR1][NR1]=[CR1][CR1]1),$([NR1]1[CR1][NR1][CR1]=[CR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2546,Extended_Functional_Groups_(EFG),8
2-Imidazolines (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[NR1]1=[CR1][NR1][CR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2547,Extended_Functional_Groups_(EFG),8
3-Imidazolines (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[NR1]1[CR1][NR1]=[CR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2548,Extended_Functional_Groups_(EFG),8
4-Imidazolines (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[NR1]1[CR1][NR1][CR1]=[CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2549,Extended_Functional_Groups_(EFG),8
"1,2-Dioxolenes (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[OR1]1[OR1][CR1]=[CR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2551,Extended_Functional_Groups_(EFG),8
"1,3-Dioxolenes (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[OR1]1[CR1][OR1][CR1]=[CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2552,Extended_Functional_Groups_(EFG),8
Dithiolenes (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([SR1]1[SR1][CR1]=[CR1][CR1]1),$([SR1]1[CR1][SR1][CR1]=[CR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2553,Extended_Functional_Groups_(EFG),8
"1,2-Dithiolenes (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[SR1]1[SR1][CR1]=[CR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2554,Extended_Functional_Groups_(EFG),8
"1,3-Dithiolenes (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[SR1]1[CR1][SR1][CR1]=[CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2555,Extended_Functional_Groups_(EFG),8
Aromatic five-membered heterocycles with two heteroatoms (HS),A = any aromatic atom except carbon,"[$([a!#6;R1]1[a!#6;R1][cR1][cR1][cR1]1),$([a!#6;R1]1[cR1][a!#6;R1][cR1][cR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2556,Extended_Functional_Groups_(EFG),8
Diazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([nR1]1[nR1][cR1][cR1][cR1]1),$([nR1]1[cR1][nR1][cR1][cR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2557,Extended_Functional_Groups_(EFG),8
Pyrazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[nR1]1[nR1][cR1][cR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2558,Extended_Functional_Groups_(EFG),8
Imidazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[nR1]1[cR1][nR1][cR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2559,Extended_Functional_Groups_(EFG),8
Oxazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([oR1]1[nR1][cR1][cR1][cR1]1),$([oR1]1[cR1][nR1][cR1][cR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2560,Extended_Functional_Groups_(EFG),8
"1,2-Oxazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[oR1]1[nR1][cR1][cR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2561,Extended_Functional_Groups_(EFG),8
"1,3-Oxazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[oR1]1[cR1][nR1][cR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2562,Extended_Functional_Groups_(EFG),8
Thiazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([sR1]1[nR1][cR1][cR1][cR1]1),$([sR1]1[cR1][nR1][cR1][cR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2563,Extended_Functional_Groups_(EFG),8
"1,2-Thiazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[sR1]1[nR1][cR1][cR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2564,Extended_Functional_Groups_(EFG),8
"1,3-Thiazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[sR1]1[cR1][nR1][cR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2565,Extended_Functional_Groups_(EFG),8
Five-membered heterocycles with three heteroatoms (HS),A = any atom except carbon; a dashed line indicates any type of covalent bonds,"[$([!#6!#1;R1]1~[!#6!#1;R1]~[!#6!#1;R1]~[#6R1]~[#6R1]~1),$([!#6!#1;R1]1~[!#6!#1;R1]~[#6R1]~[!#6!#1;R1]~[#6R1]~1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2566,Extended_Functional_Groups_(EFG),8
Saturated five-membered heterocycles with three heteroatoms (HS),A = any atom except carbon,"[$([!#6!#1;R1]1[!#6!#1;R1][!#6!#1;R1][CR1][CR1]1),$([!#6!#1;R1]1[!#6!#1;R1][CR1][!#6!#1;R1][CR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2567,Extended_Functional_Groups_(EFG),8
Triazolidines (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([NR1]1[NR1][NR1][CR1][CR1]1),$([NR1]1[NR1][CR1][NR1][CR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2568,Extended_Functional_Groups_(EFG),8
"1,2,3-Triazolidines (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[NR1]1[NR1][NR1][CR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2569,Extended_Functional_Groups_(EFG),8
"1,2,4-Triazolidines (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[NR1]1[NR1][CR1][NR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2570,Extended_Functional_Groups_(EFG),8
Trioxolanes (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([OR1]1[OR1][OR1][CR1][CR1]1),$([OR1]1[OR1][CR1][OR1][CR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2571,Extended_Functional_Groups_(EFG),8
"1,2,3-Trioxolanes (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[OR1]1[OR1][OR1][CR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2572,Extended_Functional_Groups_(EFG),8
"1,2,4-Trioxolanes (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[OR1]1[OR1][CR1][OR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2573,Extended_Functional_Groups_(EFG),8
Trithiolanes (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([SR1]1[SR1][SR1][CR1][CR1]1),$([SR1]1[SR1][CR1][SR1][CR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2574,Extended_Functional_Groups_(EFG),8
"1,2,3-Trithiolanes (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[SR1]1[SR1][SR1][CR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2575,Extended_Functional_Groups_(EFG),8
"1,2,4-Trithiolanes (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[SR1]1[SR1][CR1][SR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2576,Extended_Functional_Groups_(EFG),8
Unsaturated five-membered heterocycles with three heteroatoms (HS),A = any atom except carbon,"[$([!#6!#1;R1]1=[!#6!#1;R1][!#6!#1;R1]-,=[CR1][CR1]1),$([!#6!#1;R1]1[!#6!#1;R1][   ","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2577,Extended_Functional_Groups_(EFG),8
"1,2,3-Triazolines (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([NR1]1=[NR1][NR1][CR1][CR1]1),$([NR1]1[NR1][NR1][CR1][CR1]=1),$([NR1]1[NR1][NR1][CR1]=[CR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2578,Extended_Functional_Groups_(EFG),8
"1,2,4-Triazolines (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([NR1]1=[NR1][CR1][NR1][CR1]1),$([NR1]1[NR1]=[CR1][NR1][CR1]1),$([NR1]1[NR1][CR1]=[NR1][CR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2579,Extended_Functional_Groups_(EFG),8
"1,2,3-Trioxoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[OR1]1[OR1][OR1][CR1]=[CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2580,Extended_Functional_Groups_(EFG),8
"1,2,3-Trithioles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[SR1]1[SR1][SR1][CR1]=[CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2581,Extended_Functional_Groups_(EFG),8
Aromatic five-membered heterocycles with three heteroatoms (HS),A = any aromatic atom except carbon,"[$([a!#6;R1]1[a!#6;R1][a!#6;R1][cR1][cR1]1),$([a!#6;R1]1[a!#6;R1][cR1][a!#6;R1][cR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2582,Extended_Functional_Groups_(EFG),8
Triazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([nR1]1[nR1][nR1][cR1][cR1]1),$([nR1]1[nR1][cR1][nR1][cR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2583,Extended_Functional_Groups_(EFG),8
"1,2,3-Triazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[nR1]1[nR1][nR1][cR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2584,Extended_Functional_Groups_(EFG),8
"1,2,4-Triazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[nR1]1[nR1][cR1][nR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2585,Extended_Functional_Groups_(EFG),8
Oxadiazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([oR1]1[nR1][nR1][cR1][cR1]1),$([oR1]1[nR1][cR1][nR1][cR1]1),$([oR1]1[nR1][cR1][cR1][nR1]1),$([oR1]1[cR1][nR1][nR1][cR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2586,Extended_Functional_Groups_(EFG),8
"1,2,3-Oxadiazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[oR1]1[nR1][nR1][cR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2587,Extended_Functional_Groups_(EFG),8
"1,2,4-Oxadiazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[oR1]1[nR1][cR1][nR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2588,Extended_Functional_Groups_(EFG),8
"1,2,5-Oxadiazoles (furazanes) (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[oR1]1[nR1][cR1][cR1][nR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2589,Extended_Functional_Groups_(EFG),8
"1,3,4-Oxadiazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[oR1]1[cR1][nR1][nR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2590,Extended_Functional_Groups_(EFG),8
Five-membered heterocycles with four heteroatoms (HS),A = any atom except carbon; a dashed line indicates any type of covalent bonds,[!#6!#1;R1]1~[!#6!#1;R1]~[!#6!#1;R1]~[!#6!#1;R1]~[#6R1]~1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2591,Extended_Functional_Groups_(EFG),8
Saturated five-membered heterocycles with four heteroatoms (HS),A = any atom except carbon,[!#6!#1;R1]1-[!#6!#1;R1]-[!#6!#1;R1]-[!#6!#1;R1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2592,Extended_Functional_Groups_(EFG),8
Tetrazolidines (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[NR1]1[NR1][NR1][NR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2593,Extended_Functional_Groups_(EFG),8
Tetraoxolanes (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[OR1]1[OR1][OR1][OR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2594,Extended_Functional_Groups_(EFG),8
Tetrathiolanes (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[SR1]1[SR1][SR1][SR1][CR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2595,Extended_Functional_Groups_(EFG),8
Unsaturated five-membered heterocycles with four heteroatoms (HS),A = any atom except carbon,"[$([!#6!#1;R1]1=[!#6!#1;R1][!#6!#1;R1]-,=[!#6!#1;R1][#6R1]1),$([!#6!#1;R1]1[!#6!#1;R1]=[!#6!#1;R1][!#6!#1;R1][#6R1]1),$([!#6!#1;R1]1[!#6!#1;R1][!#6!#1;R1][!#6!#1;R1][#6R1]=1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2596,Extended_Functional_Groups_(EFG),8
Aromatic five-membered heterocycles with four heteroatoms (HS),A = any aromatic atom except carbon,[a!#6;R1]1[a!#6;R1][a!#6;R1][a!#6;R1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2597,Extended_Functional_Groups_(EFG),8
Tetrazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[nR1]1[nR1][nR1][nR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2598,Extended_Functional_Groups_(EFG),8
Oxatriazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([oR1]1[nR1][nR1][nR1][cR1]1),$([oR1]1[nR1][nR1][cR1][nR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2599,Extended_Functional_Groups_(EFG),8
"1,2,3,4-Oxatriazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[oR1]1[nR1][nR1][nR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2600,Extended_Functional_Groups_(EFG),8
"1,2,3,5-Oxatriazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[oR1]1[nR1][nR1][cR1][nR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2601,Extended_Functional_Groups_(EFG),8
Thiatriazoles (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),"[$([sR1]1[nR1][nR1][nR1][cR1]1),$([sR1]1[nR1][nR1][cR1][nR1]1)]","Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2602,Extended_Functional_Groups_(EFG),8
"1,2,3,4-Thiatriazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[sR1]1[nR1][nR1][nR1][cR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2603,Extended_Functional_Groups_(EFG),8
"1,2,3,5-Thiatriazoles (HS)",High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[sR1]1[nR1][nR1][cR1][nR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2604,Extended_Functional_Groups_(EFG),8
Five-membered heterocycles with five heteroatoms (HS),A = any atom except carbon; a dashed line indicates any type of covalent bonds,[!#6!#1;R1]1~[!#6!#1;R1]~[!#6!#1;R1]~[!#6!#1;R1]~[!#6!#1;R1]~1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2605,Extended_Functional_Groups_(EFG),8
Saturated five-membered heterocycles with five heteroatoms (HS),A = any atom except carbon,[!#6!#1;R1]1-[!#6!#1;R1]-[!#6!#1;R1]-[!#6!#1;R1]-[!#6!#1;R1]-1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2606,Extended_Functional_Groups_(EFG),8
Pentazolidines (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[NR1]1[NR1][NR1][NR1][NR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2607,Extended_Functional_Groups_(EFG),8
Pentaoxolanes (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[OR1]1[OR1][OR1][OR1][OR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2608,Extended_Functional_Groups_(EFG),8
Pentathiolanes (HS),High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),[SR1]1[SR1][SR1][SR1][SR1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2609,Extended_Functional_Groups_(EFG),8
Unsaturated five-membered heterocycles with five heteroatoms (HS),A = any atom except carbon,[!#6!#1;R1]1=[!#6!#1;R1]-[!#6!#1;R1]-[!#6!#1;R1]-[!#6!#1;R1]-1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2610,Extended_Functional_Groups_(EFG),8
Aromatic five-membered heterocycles with five heteroatoms (HS),A = any aromatic atom except carbon,[a!#6;R1]1[a!#6;R1][a!#6;R1][a!#6;R1][a!#6;R1]1,"Salmina, ES, Haider, N, Tetko, IV, ",Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.,TA2611,Extended_Functional_Groups_(EFG),8
