Names	SMARTS	Reject	Accept
halo_acrylate	[$([C;H2]),$([C&H1;$(C-F)]),$([C&H1;$(C-Cl)]),$([C&H1;$(C-Br)]),$([C&H1;$(C-I)]),$(C(F)F),$(C(Cl)Cl),$(C(Br)Br),$(C(I)I),$(C(F)Cl),$(C(F)Br),$(C(F)I),$(C(Cl)Br),$(C(Br)I)](=[$([C&H1;$(C(-C(=O)))]),$(C(F)(C(=O))),$(C(Cl)(C(=O))),$(C(Br)(C(=O))),$(C(I)(C(=O))),$(C(C)(C(=O))),$(C(c)(C(=O)))])		['[$([C;H2]),$([C&H1;$(C-F)]),$([C&H1;$(C-Cl)]),$([C&H1;$(C-Br)]),$([C&H1;$(C-I)]),$(C(F)F),$(C(Cl)Cl),$(C(Br)Br),$(C(I)I),$(C(F)Cl),$(C(F)Br),$(C(F)I),$(C(Cl)Br),$(C(Br)I)](=[$([C&H1;$(C(-C(=O)))]),$(C(F)(C(=O))),$(C(Cl)(C(=O))),$(C(Br)(C(=O))),$(C(I)(C(=O))),$(C(C)(C(=O))),$(C(c)(C(=O)))])']
halo_imino	C(=[#7])([Cl,Br,I,$(O(S(=O)(=O)))])		['C(=[#7])([Cl,Br,I,$(O(S(=O)(=O)))])']
halo_olefin_bis_EWG	C([Cl,Br,I,$(O(S(=O)(=O)))])=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])		['C([Cl,Br,I,$(O(S(=O)(=O)))])=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])']
halo_phenolic_carbonyl	C(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])		['C(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])']
halo_phenolic_sulfonyl	S(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])		['S(=O)Oc1c([Cl,F])[cH1,$(c[F,Cl])]c([F,Cl])[cH1,$(c[F,Cl])]c1([F,Cl])']
halogen_heteroatom	[!C;!c;!H][F,Cl,Br,I]		['[!C;!c;!H][F,Cl,Br,I]']
hetero_silyl	[Si]~[!#6]		['[Si]~[!#6]']
hydrazine	[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]-[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]		['[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]-[N;X3;!$(N-S(=O)(=O));!$(N-C(F)(F)(F));!$(N-C#N);!$(N-C(=O));!$(N-C(=S));!$(N-C(=N))]']
hydrazothiourea	[N;!R]=NC(=S)N		['[N;!R]=NC(=S)N']
hydroxamate_warhead	C([N;H1]([O;D1]))=O		['C([N;H1]([O;D1]))=O']
hyperval_sulfur	[$([#16&D3]),$([#16&D4])]=,:[#6]		['[$([#16&D3]),$([#16&D4])]=,:[#6]']
isonitrile	[N+]#[C-]		['[N+]#[C-]']
keto_def_heterocycle	[$(c([C;!R;!$(C-[N,O,S]);!$(C-[H])](=O))1naaaa1),$(c([C;!R;!$(C-[N,O,S]);!$(C-[H])](=O))1naa[n,s,o]1)]		['[$(c([C;!R;!$(C-[N,O,S]);!$(C-[H])](=O))1naaaa1),$(c([C;!R;!$(C-[N,O,S]);!$(C-[H])](=O))1naa[n,s,o]1)]']
linear_polycyclic_aromatic_I	[$(a12aaaaa1aa3a(aa(aaaa4)a4a3)a2),$(a12aaaaa1aa3a(aaa4a3aaaa4)a2),$(a12aaaaa1a(aa5)a3a(aaa4a3a5aaa4)a2)]		['[$(a12aaaaa1aa3a(aa(aaaa4)a4a3)a2),$(a12aaaaa1aa3a(aaa4a3aaaa4)a2),$(a12aaaaa1a(aa5)a3a(aaa4a3a5aaa4)a2)]']
linear_polycyclic_aromatic_II	[$(a12aaaa4a1a3a(aaaa3aa4)aa2),$(a12aaaaa1a3a(aaa4a3aaaa4)aa2),$(a1(a(aaaa4)a4a3a2aaaa3)a2aaaa1)]		['[$(a12aaaa4a1a3a(aaaa3aa4)aa2),$(a12aaaaa1a3a(aaa4a3aaaa4)aa2),$(a1(a(aaaa4)a4a3a2aaaa3)a2aaaa1)]']
maleimide_etc	[$([C;H1]),$(C(-[F,Cl,Br,I]))]1=[$([C;H1]),$(C(-[F,Cl,Br,I]))]C(=O)[N,O,S]C(=O)1		['[$([C;H1]),$(C(-[F,Cl,Br,I]))]1=[$([C;H1]),$(C(-[F,Cl,Br,I]))]C(=O)[N,O,S]C(=O)1']
meldrums_acid_deriv	O=C1OC(C)(C)OC(C1)=O		['O=C1OC(C)(C)OC(C1)=O']
monofluoroacetate	[C;H2](F)C(=O)[O,N,S]		['[C;H2](F)C(=O)[O,N,S]']
nitrone	[C;!R]=[N+][O;D1]		['[C;!R]=[N+][O;D1]']
nitrosamine	N-[N;X2](=O)		['N-[N;X2](=O)']
non_ring_CH2O_acetal	[O,N,S;!$(S~O)]!@[CH2]!@[O,S,N;!$(S~O)]		['[O,N,S;!$(S~O)]!@[CH2]!@[O,S,N;!$(S~O)]']
non_ring_acetal	[O,N,S;!$(S~O)]!@[C;H1;X4]!@[O,N,S;!$(S~O)]		['[O,N,S;!$(S~O)]!@[C;H1;X4]!@[O,N,S;!$(S~O)]']
non_ring_ketal	[O,N,S;!$(S~O)]!@[C;H0;X4](!@[O,N,S;!$(S~O)])(C)		['[O,N,S;!$(S~O)]!@[C;H0;X4](!@[O,N,S;!$(S~O)])(C)']
ortho_hydroiminoquinone	c1c([N;D1])c([N;D1])c[cH1][cH1]1		['c1c([N;D1])c([N;D1])c[cH1][cH1]1']
ortho_hydroquinone	a1c([O,S;D1])c([O,S;D1])a[cH1][cH1]1		['a1c([O,S;D1])c([O,S;D1])a[cH1][cH1]1']
ortho_nitrophenyl_carbonyl	[#6]1(-O-[C;!R](=[O,N;!R]))[#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6][#6][#6]1		['[#6]1(-O-[C;!R](=[O,N;!R]))[#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6][#6][#6]1']
ortho_quinone	[CH1,$(C(-[Cl,Br,I]))]1=CC(=[O,N,S;!R])C(=[O,N,S])C=[CH1,$(C(-[Cl,Br,I]))]1		['[CH1,$(C(-[Cl,Br,I]))]1=CC(=[O,N,S;!R])C(=[O,N,S])C=[CH1,$(C(-[Cl,Br,I]))]1']
oxaziridine	C1~[O,S]~N1		['C1~[O,S]~N1']
oxime	[$(C=N[O;D1]);!$(C=[N+])][#6][#6]		['[$(C=N[O;D1]);!$(C=[N+])][#6][#6]']
oxonium	[o+,O+]		['[o+,O+]']
para_hydroiminoquinone	a1[cH1]c([N;D1])[cH1]ac([N;D1])1		['a1[cH1]c([N;D1])[cH1]ac([N;D1])1']
para_hydroquinone	a1[cH1]c([O,S;D1])[cH1]ac([O,S;D1])1		['a1[cH1]c([O,S;D1])[cH1]ac([O,S;D1])1']
para_nitrophenyl_ester	[#6]1(-O(-[C;!R](-[!N])(=[O,N;!R])))[#6][#6][#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6]1		['[#6]1(-O(-[C;!R](-[!N])(=[O,N;!R])))[#6][#6][#6]([$(N(=O)(=O)),$([N+](=O)[O-])])[#6][#6]1']
para_quinone	[CH1,$(C(-[Cl,Br,I]))]1=[CH1,$(C(-[Cl,Br,I]))]C(=[O,N,S])[CH1,$(C(-[Cl,Br,I]))]=[CH1,$(C(-[Cl,Br,I]))]C1(=[O,N,S])		['[CH1,$(C(-[Cl,Br,I]))]1=[CH1,$(C(-[Cl,Br,I]))]C(=[O,N,S])[CH1,$(C(-[Cl,Br,I]))]=[CH1,$(C(-[Cl,Br,I]))]C1(=[O,N,S])']
paraquat_like	[#6]1[#6][#6]([#6]2[#6][#6][#7;+][#6][#6]2)[#6][#6][#7;+]1		['[#6]1[#6][#6]([#6]2[#6][#6][#7;+][#6][#6]2)[#6][#6][#7;+]1']
pentafluorophenylester	C(=O)Oc1c(F)c(F)c(F)c(F)c1(F)		['C(=O)Oc1c(F)c(F)c(F)c(F)c1(F)']
perchloro_cp	C1(Cl)(Cl)C(Cl)C(Cl)=C(Cl)C1(Cl)		['C1(Cl)(Cl)C(Cl)C(Cl)=C(Cl)C1(Cl)']
perhalo_dicarbonyl_phenyl	c1(C=O)c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c1(C=O)		['c1(C=O)c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c1(C=O)']
perhalo_phenyl	c1c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c1([Br,Cl,I])		['c1c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c([Br,Cl,I])c1([Br,Cl,I])']
peroxide	[#8]~[#8]		['[#8]~[#8]']
phenolate_bis_EWG	O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1		['O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1']
phos_serine_warhead	NC(COP(O)(O)=O)C(O)=O		['NC(COP(O)(O)=O)C(O)=O']
phos_threonine_warhead	NC(C(C)OP(O)(O)=O)C(O)=O		['NC(C(C)OP(O)(O)=O)C(O)=O']
phos_tyrosine_warhead	NC(Cc1ccc(OP(O)(O)=O)cc1)C(O)=O		['NC(Cc1ccc(OP(O)(O)=O)cc1)C(O)=O']
phosphite	[c,C]-[P;v3]		['[c,C]-[P;v3]']
phosphonium	[#15;+]~[!O]		['[#15;+]~[!O]']
phosphorane	C=P		['C=P']
phosphorous_nitrogen_bond	[#15]~[N,n]		['[#15]~[N,n]']
phosphorus_phosphorus_bond	P~P		['P~P']
phosphorus_sulfur_bond	P~S		['P~S']
polyene	C=[C;!R][C;!R]=[C;!R][C;!R]=[C;!R]		['C=[C;!R][C;!R]=[C;!R][C;!R]=[C;!R]']
polyhalo_phenol_a	c1c([O;D1])c(-[Cl,Br,I])c(-[Cl,Br,I])cc1.c1c([O;D1])c(-[Cl,Br,I])c(-[Cl,Br,I])cc1		['c1c([O;D1])c(-[Cl,Br,I])c(-[Cl,Br,I])cc1.c1c([O;D1])c(-[Cl,Br,I])c(-[Cl,Br,I])cc1']
polyhalo_phenol_b	c1c([O;D1])c(-[Cl,Br,I])cc(-[Cl,Br,I])c1.c1c([O;D1])c(-[Cl,Br,I])cc(-[Cl,Br,I])c1		['c1c([O;D1])c(-[Cl,Br,I])cc(-[Cl,Br,I])c1.c1c([O;D1])c(-[Cl,Br,I])cc(-[Cl,Br,I])c1']
polyhalo_phenol_c	c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1.c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1		['c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1.c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1']
polyhalo_phenol_d	c(-[Cl,Br,I])1c([O;D1])c(-[Cl,Br,I])ccc1.c(-[Cl,Br,I])1c([O;D1])c(-[Cl,Br,I])ccc1		['c(-[Cl,Br,I])1c([O;D1])c(-[Cl,Br,I])ccc1.c(-[Cl,Br,I])1c([O;D1])c(-[Cl,Br,I])ccc1']
polyhalo_phenol_e	c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1.c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1		['c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1.c1c([O;D1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1']
polysulfide	[S;D2]-[S;D2]-[S;D2]		['[S;D2]-[S;D2]-[S;D2]']
porphyrin	[#6;r16,r17,r18]~[#6]1~[#6]~[#6]~[#6](~[#6])~[#7]1		['[#6;r16,r17,r18]~[#6]1~[#6]~[#6]~[#6](~[#6])~[#7]1']
primary_halide_sulfate	[CH2][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]		['[CH2][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]']
quat_N_N	[N,n;R;+]!@[N,n]		['[N,n;R;+]!@[N,n]']
quat_N_acyl	[N,n;+]!@C(=O)		['[N,n;+]!@C(=O)']
quinone_methide	[#6;!$([#6](-[N,O,S]))]1=[#6;!$([#6](-[N,O,S]))][#6](=[#6])[#6;!$([#6](-[N,O,S]))]=[#6;!$([#6](-[N,O,S]))][#6]1(=[O,N,S])		['[#6;!$([#6](-[N,O,S]))]1=[#6;!$([#6](-[N,O,S]))][#6](=[#6])[#6;!$([#6](-[N,O,S]))]=[#6;!$([#6](-[N,O,S]))][#6]1(=[O,N,S])']
rhodanine	C(=C)1SC(=S)NC(=O)1		['C(=C)1SC(=S)NC(=O)1']
secondary_halide_sulfate	[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]		['[CH;!$(C=C)][Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))]']
sulf_D2_nitrogen	[S;D2](-[N;!$(N(=C));!$(N(-S(=O)(=O)));!$(N(-C(=O)))])		['[S;D2](-[N;!$(N(=C));!$(N(-S(=O)(=O)));!$(N(-C(=O)))])']
sulf_D2_oxygen_D2	[S;D2][O;D2]		['[S;D2][O;D2]']
sulf_D3_nitrogen	[S;D3](-N)(-[c,C])(-[c,C])		['[S;D3](-N)(-[c,C])(-[c,C])']
sulfite_sulfate_ester	[C,c]OS(=O)O[C,c]		['[C,c]OS(=O)O[C,c]']
sulfonium	[S+;X3;$(S-C);!$(S-[O;D1])]		['[S+;X3;$(S-C);!$(S-[O;D1])]']
sulfonyl_anhydride	[$(C(=O)),$(S(=O)(=O))][O,S](S(=O)(=O))		['[$(C(=O)),$(S(=O)(=O))][O,S](S(=O)(=O))']
sulfonyl_halide	S(=O)(=O)[F,Cl,Br,I]		['S(=O)(=O)[F,Cl,Br,I]']
sulfonyl_heteroatom	[!#6;!#1;!#11;!#19]O(S(=O)(=O)(-[C,c]))		['[!#6;!#1;!#11;!#19]O(S(=O)(=O)(-[C,c]))']
sulphonyl_cyanide	S(=O)(=O)C#N		['S(=O)(=O)C#N']
tertiary_halide_sulfate	[C;X4](-[Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))])(-[c,C])(-[c,C])(-[c,C])		['[C;X4](-[Cl,Br,I,$(O(S(=O)(=O)[!$(N);!$([O&D1])]))])(-[c,C])(-[c,C])(-[c,C])']
thio_hydroxamate	[S;D2]([$(N(=C)),$(N(-S(=O)(=O))),$(N(-C(=O)))])		['[S;D2]([$(N(=C)),$(N(-S(=O)(=O))),$(N(-C(=O)))])']
thio_xanthate	[S;!R]-[C;!R](=[S;!R])(-[S;!R])		['[S;!R]-[C;!R](=[S;!R])(-[S;!R])']
thiocarbonate	SC(=O)[O,S]		['SC(=O)[O,S]']
thioester	[S;!R;H0]C(=[S,O;!R])([!O;!S;!N])		['[S;!R;H0]C(=[S,O;!R])([!O;!S;!N])']
thiol_warhead	NC(C[S;D1])C(O)=O		['NC(C[S;D1])C(O)=O']
thiopyrylium	c1[S,s;+]cccc1		['c1[S,s;+]cccc1']
thiosulfoxide	[C,c][S;X3](~O)-S		['[C,c][S;X3](~O)-S']
triamide	[$(N(-C(=O))(-C(=O))(-C(=O))),$(n([#6](=O))([#6](=O))([#6](=O)))]		['[$(N(-C(=O))(-C(=O))(-C(=O))),$(n([#6](=O))([#6](=O))([#6](=O)))]']
triaryl_phosphine_oxide	P(=O)(a)(a)(a)		['P(=O)(a)(a)(a)']
trichloromethyl_ketone	[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(Cl)(Cl)(Cl)		['[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(Cl)(Cl)(Cl)']
triflate	OS(=O)(=O)(C(F)(F)(F))		['OS(=O)(=O)(C(F)(F)(F))']
trifluoroacetate_ester	C(F)(F)(F)C(=O)O		['C(F)(F)(F)C(=O)O']
trifluoroacetate_thioester	C(F)(F)(F)C(=O)S		['C(F)(F)(F)C(=O)S']
trifluoromethyl_ketone	[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(F)(F)(F)		['[$(C(=O));!$(C-N);!$(C-O);!$(C-S)]C(F)(F)(F)']
trihalovinyl_heteroatom	C(-[Cl,Br,I])(-[Cl,Br,I])=C(-[Cl,Br,I])(-[N,O,S])		['C(-[Cl,Br,I])(-[Cl,Br,I])=C(-[Cl,Br,I])(-[N,O,S])']
trinitro_aromatic	[$(a1aaa([$(N(=O)(=O)),$([N+](=O)[O-])])a([$(N(=O)(=O)),$([N+](=O)[O-])])a1([$(N(=O)(=O)),$([N+](=O)[O-])])),$(a1aa([$(N(=O)(=O)),$([N+](=O)[O-])])a([$(N(=O)(=O)),$([N+](=O)[O-])])aa1([$(N(=O)(=O)),$([N+](=O)[O-])])),$(a1a([$(N(=O)(=O)),$([N+](=O)[O-])])aa([$(N(=O)(=O)),$([N+](=O)[O-])])aa1([$(N(=O)(=O)),$([N+](=O)[O-])]))]		['[$(a1aaa([$(N(=O)(=O)),$([N+](=O)[O-])])a([$(N(=O)(=O)),$([N+](=O)[O-])])a1([$(N(=O)(=O)),$([N+](=O)[O-])])),$(a1aa([$(N(=O)(=O)),$([N+](=O)[O-])])a([$(N(=O)(=O)),$([N+](=O)[O-])])aa1([$(N(=O)(=O)),$([N+](=O)[O-])])),$(a1a([$(N(=O)(=O)),$([N+](=O)[O-])])aa([$(N(=O)(=O)),$([N+](=O)[O-])])aa1([$(N(=O)(=O)),$([N+](=O)[O-])]))]']
trinitromethane_derivative	C([$([N+](=O)[O-]),$(N(=O)=O)])([$([N+](=O)[O-]),$(N(=O)=O)])([$([N+](=O)[O-]),$(N(=O)=O)])		['C([$([N+](=O)[O-]),$(N(=O)=O)])([$([N+](=O)[O-]),$(N(=O)=O)])([$([N+](=O)[O-]),$(N(=O)=O)])']
tris_activated_aryl_ester	[$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aaa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1)]		['[$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aaa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])a1),$(O=[C,S]Oc1a([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),F,$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1)]']
vinyl_carbonyl_EWG	[C;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])=[C;!R]([C;!R](=O))([!$([#8]);!$([#7])])		['[C;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])=[C;!R]([C;!R](=O))([!$([#8]);!$([#7])])']
